STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Georgia,Walton County,94593,1391,1174,937,237,-9,1162,1153,1,791,12.50299529,9.978966426,2.524028861,-0.095849197,12.37519636,12.27934716,4038104,72,16,,,16,,16
Georgia,Ware County,35734,147,476,455,21,-6,133,127,-1,2468,13.34810224,12.75921538,0.588886864,-0.16825339,3.729616803,3.561363413,1208334,28,16,,,24,,13
Georgia,Warren County,5254,7,61,68,-7,1,13,14,0,89,11.61794115,12.95114751,-1.333206361,0.190458052,2.475954671,2.666412723,187996,,,,,,,
Georgia,Washington County,20374,-36,219,227,-8,1,-28,-27,-1,1878,10.73950569,11.1318164,-0.39231071,0.049038839,-1.373087485,-1.324048647,730412,18,18,,,,,
Georgia,Wayne County,29927,117,360,358,2,8,108,116,-1,2065,12.05283158,11.9858714,0.066960175,0.267840702,3.615849474,3.883690175,958349,26,17,,,,,
Georgia,Webster County,2607,1,23,22,1,0,0,0,0,0,8.824093612,8.440437368,0.383656244,0,0,0,86163,,,,,,,
Georgia,Wheeler County,7855,-43,64,63,1,0,-44,-44,0,2511,8.125436425,7.998476481,0.126959944,0,-5.586237542,-5.586237542,149093,,,,,,,
Georgia,White County,30798,810,288,316,-28,2,830,832,6,822,9.475866153,10.39713092,-0.921264765,0.065804626,27.30891982,27.37472444,1126546,24,16,,,,,
Georgia,Whitfield County,104628,379,1305,837,468,41,-130,-89,0,1126,12.49539203,8.01428592,4.481106106,0.392575535,-1.244751696,-0.852176161,4235455,53,10,,,,,
Georgia,Wilcox County,8635,-192,78,88,-10,1,-184,-183,1,1854,8.933684572,10.07902875,-1.145344176,0.114534418,-21.07433284,-20.95979842,246337,,,,,,,
Georgia,Wilkes County,9777,-87,95,147,-52,6,-39,-33,-2,183,9.673641872,14.96868795,-5.295046077,0.610966855,-3.971284558,-3.360317703,403825,12,24,,,,,
Georgia,Wilkinson County,8954,-89,104,127,-23,0,-65,-65,-1,180,11.5574818,14.11346336,-2.555981552,0,-7.223426127,-7.223426127,332501,,,,,,,
Georgia,Worth County,20247,-55,213,230,-17,0,-38,-38,0,177,10.50580779,11.34429949,-0.838491701,0,-1.874275568,-1.874275568,731703,20,20,,,,,
Hawaii,Hawaii County,201513,4,2237,2003,234,427,-643,-216,-14,3741,11.10113096,9.939904025,1.161226931,2.118991023,-3.190892805,-1.071901782,8602392,76,8,,6,,11,8
Hawaii,Honolulu County,974563,-5295,12013,8595,3418,3736,-12427,-8691,-22,35133,12.29315485,8.795443766,3.497711087,3.823127156,-12.71680974,-8.893682579,57756093,149,3,,3,,3,4
Hawaii,Kalawao County,86,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4239160.5,,,,,,,
Hawaii,Kauai County,72293,125,794,704,90,269,-230,39,-4,1179,10.99258623,9.7465752,1.246011034,3.724188535,-3.184250421,0.539938115,3679314,24,7,,6,,,8
Hawaii,Maui County,167417,445,1834,1446,388,582,-517,65,-8,2862,10.96926035,8.648609853,2.3206505,3.48097575,-3.09220698,0.388768769,4239160.5,32,4,,3,,,6
Idaho,Ada County,481587,12823,4980,3055,1925,26,10815,10841,57,11386,10.48033832,6.429203526,4.051134791,0.054716626,22.76001183,22.81472845,26265476,302,13,,,,7,14
Idaho,Adams County,4294,60,31,27,4,1,56,57,-1,21,7.270168856,6.332082552,0.938086304,0.234521576,13.13320826,13.36772983,166993,,,,,,,
Idaho,Bannock County,87808,1134,1170,709,461,66,606,672,1,2016,13.4111255,8.126912805,5.284212698,0.756525028,6.946275261,7.702800289,3389526,85,20,,,,,
Idaho,Bear Lake County,6125,81,77,63,14,2,65,67,0,31,12.65510724,10.35417865,2.300928589,0.328704084,10.68288274,11.01158682,258205,,,,,,,
Idaho,Benewah County,9298,80,96,99,-3,1,81,82,1,70,10.36941024,10.69345431,-0.32404407,0.10801469,8.74918989,8.85720458,366619,13,28,,,,,
Idaho,Bingham County,46811,682,593,377,216,8,461,469,-3,322,12.76092102,8.112760921,4.648160103,0.172154078,9.920378739,10.09253282,1765997,37,16,,,,,
Idaho,Blaine County,23021,250,192,106,86,119,45,164,0,274,8.385744235,4.62962963,3.756114605,5.197414396,1.965408805,7.162823201,2681876,12,11,,,,,
Idaho,Boise County,7831,176,59,58,1,1,174,175,0,34,7.619785613,7.490636704,0.129148909,0.129148909,22.47191011,22.60105902,338417,,,,,,,
Idaho,Bonner County,45739,1034,426,438,-12,-13,1057,1044,2,348,9.420193711,9.68555128,-0.265357569,-0.2874707,23.37357923,23.08610853,1931194,51,23,,,,,
Idaho,Bonneville County,119062,2618,1876,863,1013,-33,1633,1600,5,1225,15.93165355,7.328900325,8.602753221,-0.280247637,13.86801186,13.58776422,6308005,91,16,,,,,
Idaho,Boundary County,12245,229,134,132,2,2,225,227,0,77,11.04653559,10.88166193,0.164873666,0.164873666,18.54828738,18.71316104,458917,,,,,,,
Idaho,Butte County,2597,10,30,26,4,0,7,7,-1,18,11.57407407,10.0308642,1.543209877,0,2.700617284,2.700617284,114365,,,,,,,
Idaho,Camas County,1106,-15,10,6,4,0,-18,-18,-1,0,8.980691513,5.388414908,3.592276605,0,-16.16524472,-16.16524472,56230,,,,,,,
Idaho,Canyon County,229849,6613,3099,1547,1552,-96,5132,5036,25,3304,13.6795524,6.828740744,6.850811658,-0.423761546,22.65358597,22.22982443,7976588,145,13,,,,6,16
Idaho,Caribou County,7155,118,98,60,38,7,73,80,0,32,13.81059752,8.455467869,5.355129651,0.986471251,10.28748591,11.27395716,296319,10,29,,,,,
Idaho,Cassia County,24030,239,391,185,206,3,31,34,-1,278,16.35264842,7.737186592,8.615461826,0.125467891,1.296501537,1.421969428,1107030,17,14,,,,,
Idaho,Clark County,845,-6,8,2,6,2,-14,-12,0,2,9.433962264,2.358490566,7.075471698,2.358490566,-16.50943396,-14.1509434,34727,,,,,,,
Idaho,Clearwater County,8756,-2,72,96,-24,0,22,22,0,742,8.221993834,10.96265845,-2.740664611,0,2.512275894,2.512275894,313030,18,42,,,,,
Idaho,Custer County,4315,65,33,38,-5,0,69,69,1,21,7.705779335,8.873321658,-1.167542323,0,16.11208406,16.11208406,186723,,,,,,,
Idaho,Elmore County,27511,149,456,195,261,40,-153,-113,1,724,16.62019573,7.10732054,9.512875185,1.457911906,-5.576513039,-4.118601134,1082309,21,16,,,,,
Idaho,Franklin County,13876,172,202,105,97,-14,90,76,-1,102,14.64829587,7.614213198,7.034082669,-1.015228426,6.526468455,5.511240029,508389,14,21,,,,,
Idaho,Fremont County,13099,-56,183,92,91,5,-151,-146,-1,448,13.94073284,7.008455854,6.932276986,0.38089434,-11.50300907,-11.12211473,488710,,,,,,,
