State,County,Average Number of guns
Tennessee,Lewis,1043.778947
Tennessee,Lincoln,1043.778947
Tennessee,Loudon,1043.778947
Tennessee,McMinn,1043.778947
Tennessee,McNairy,1043.778947
Tennessee,Macon,1043.778947
Tennessee,Madison,1043.778947
Tennessee,Marion,1043.778947
Tennessee,Marshall,1043.778947
Tennessee,Maury,1043.778947
Tennessee,Meigs,1043.778947
Tennessee,Monroe,1043.778947
Tennessee,Montgomery,1043.778947
Tennessee,Moore,1043.778947
Tennessee,Morgan,1043.778947
Tennessee,Obion,1043.778947
Tennessee,Overton,1043.778947
Tennessee,Perry,1043.778947
Tennessee,Pickett,1043.778947
Tennessee,Polk,1043.778947
Tennessee,Putnam,1043.778947
Tennessee,Rhea,1043.778947
Tennessee,Roane,1043.778947
Tennessee,Robertson,1043.778947
Tennessee,Rutherford,1043.778947
Tennessee,Scott,1043.778947
Tennessee,Sequatchie,1043.778947
Tennessee,Sevier,1043.778947
Tennessee,Shelby,1043.778947
Tennessee,Smith,1043.778947
Tennessee,Stewart,1043.778947
Tennessee,Sullivan,1043.778947
Tennessee,Sumner,1043.778947
Tennessee,Tipton,1043.778947
Tennessee,Trousdale,1043.778947
Tennessee,Unicoi,1043.778947
Tennessee,Union,1043.778947
Tennessee,Van Buren,1043.778947
Tennessee,Warren,1043.778947
Tennessee,Washington County,1043.778947
Tennessee,Wayne,1043.778947
Tennessee,Weakley,1043.778947
Tennessee,White,1043.778947
Tennessee,Williamson,1043.778947
Tennessee,Wilson,1043.778947
Texas,Anderson,2317.700787
Texas,Andrews,2317.700787
Texas,Angelina,2317.700787
Texas,Aransas,2317.700787
Texas,Archer,2317.700787
Texas,Armstrong,2317.700787
Texas,Atascosa,2317.700787
Texas,Austin,2317.700787
Texas,Bailey,2317.700787
Texas,Bandera,2317.700787
Texas,Bastrop,2317.700787
Texas,Baylor,2317.700787
Texas,Bee,2317.700787
Texas,Bell,2317.700787
Texas,Bexar,2317.700787
Texas,Blanco,2317.700787
Texas,Borden,2317.700787
Texas,Bosque,2317.700787
Texas,Bowie,2317.700787
Texas,Brazoria,2317.700787
Texas,Brazos,2317.700787
Texas,Brewster,2317.700787
Texas,Briscoe,2317.700787
Texas,Brooks,2317.700787
Texas,Brown,2317.700787
Texas,Burleson,2317.700787
Texas,Burnet,2317.700787
Texas,Caldwell,2317.700787
Texas,Calhoun,2317.700787
Texas,Callahan,2317.700787
Texas,Cameron,2317.700787
Texas,Camp,2317.700787
Texas,Carson,2317.700787
Texas,Cass,2317.700787
Texas,Castro,2317.700787
Texas,Chambers,2317.700787
Texas,Cherokee,2317.700787
Texas,Childress,2317.700787
Texas,Clay,2317.700787
Texas,Cochran,2317.700787
Texas,Coke,2317.700787
Texas,Coleman,2317.700787
Texas,Collin,2317.700787
Texas,Collingsworth,2317.700787
Texas,Colorado County,2317.700787
Texas,Comal,2317.700787
Texas,Comanche,2317.700787
Texas,Concho,2317.700787
Texas,Cooke,2317.700787
Texas,Coryell,2317.700787
Texas,Cottle,2317.700787
Texas,Crane,2317.700787
Texas,Crockett,2317.700787
Texas,Crosby,2317.700787
Texas,Culberson,2317.700787
Texas,Dallam,2317.700787
Texas,Dallas,2317.700787
Texas,Dawson,2317.700787
Texas,Deaf Smith,2317.700787
Texas,Delta,2317.700787
Texas,Denton,2317.700787
Texas,DeWitt,2317.700787
Texas,Dickens,2317.700787
Texas,Dimmit,2317.700787
Texas,Donley,2317.700787
